PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Enes Freedom,UTA,None,Turkey,28.97,41.01,2011,1,3
Ersan Ilyasova,MIL,None,Turkey,28.97,41.01,2005,2,36
Hedo Turkoglu,LAC,None,Turkey,28.97,41.01,2000,1,16
Omer Asik,HOU,None,Turkey,28.97,41.01,2008,2,36
Erik Murphy,CHI,Florida,Finland,26,64,2013,2,49
Gal Mekel,DAL,Wichita State,Israel,35.21,31.77,Undrafted,Undrafted,Undrafted
Omri Casspi,HOU,None,Israel,35.21,31.77,2009,1,23
Giannis Antetokounmpo,MIL,None,Greece,23.72,37.98,2013,1,15
Gorgui Dieng,MIN,Louisville,Senegal,-17.4676,14.7166,2013,1,21
Hamady Ndiaye,SAC,Rutgers,Senegal,-17.4676,14.7166,2010,2,56
Greivis Vasquez,TOR,Maryland,Venezuela,-66.91,10.500,2010,1,28
Gustavo Ayon,ATL,None,Mexico,-99.1332,19.432,Undrafted,Undrafted,Undrafted
Jorge Gutierrez,BKN,California,Mexico,-99.1332,19.432,Undrafted,Undrafted,Undrafted
Hasheem Thabeet,OKC,Connecticut,Tanzania,39.1,-6.77,2009,1,2
J.J. Barea,MIN,Northeastern,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
Jan Vesely,DEN,None,Czech Republic,14.418,50.0,2011,1,6
Jeffery Taylor,CHA,Vanderbilt,Sweden,18.06,59.33,2012,2,31
Jonas Jerebko,DET,None,Sweden,18.06,59.33,2009,2,39
Joel Freeland,POR,None,United Kingdom,-1.080,53.95,2006,1,30
Luol Deng,CLE,Duke,United Kingdom,-1.080,53.95,2004,1,7
Jose Calderon,DAL,None,Spain,-3.70,40.416,Undrafted,Undrafted,Undrafted
Marc Gasol,MEM,None,Spain,-3.70,40.416,2007,2,48
Pau Gasol,LAL,None,Spain,-3.70,40.416,2001,1,3
Ricky Rubio,MIN,None,Spain,-3.70,40.416,2009,1,5
Victor Claver,POR,None,Spain,-3.70,40.416,2009,1,22
Luc Mbah a Moute,MIN,UCLA,Cameroon,9.78,4.06,2008,2,37
Luis Scola,IND,None,Argentina,-58.38,-34.6,2002,2,55
Manu Ginobili,SAS,None,Argentina,-58.38,-34.6,1999,2,57
Pablo Prigioni,NYK,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Marcin Gortat,WAS,None,Poland,21.017,52.237,2005,2,57
Miroslav Raduljica,MIL,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Nemanja Nedovic,GSW,None,Serbia,20.45,44.78,2013,1,30
Ognjen Kuzmic,GSW,None,Serbia,20.45,44.78,2012,2,52
Mirza Teletovic,BKN,None,Bosnia and Herzegovina,18.41,43.856,Undrafted,Undrafted,Undrafted
Nikola Pekovic,MIN,None,Montenegro,19.26,42.44,2008,2,31
Nikola Vucevic,ORL,Southern California,Montenegro,19.26,42.44,2011,1,16
Pero Antic,ATL,None,Macedonia,20.71,41.04,Undrafted,Undrafted,Undrafted
Samuel Dalembert,DAL,Seton Hall,Haiti,-72.333,18.53,2001,1,26
Serge Ibaka,OKC,None,Republic of the Congo,15.82,-0.228,2008,1,24
Steven Adams,OKC,Pittsburgh,New Zealand,174.77,-41.27,2013,1,12
Thabo Sefolosha,OKC,None,Switzerland,6.14,46.204,2006,1,13
Tim Duncan,SAS,Wake Forest,US Virgin Islands,-83.82,34.29,1997,1,1
Tornike Shengelia,CHI,None,Georgia,44.78,41.71,2012,2,54
Zaza Pachulia,MIL,None,Georgia,44.78,41.71,2003,2,42
